ID,Name,Latitude,Longitude
1,n/a,34.5935683,135.5051573
2,タイムズ大物駅前,34.7175167,135.4254737
3,n/a,34.6810389,135.4833942
4,北堀江駐車場,34.6753465,135.4823618
5,芝野,34.6745744,135.4819648
6,モータープールとよえい,34.6740999,135.4819664
7,ヤマダモータープール,34.6704557,135.4806153
8,パークステーション24南堀江,34.6702266,135.4872643
9,P.ZONE南堀江3丁目,34.6701987,135.4877568
10,タイムズ南堀江公園南第2,34.6698173,135.4918462
11,大野コインパーキング住吉橋,34.6696253,135.4936851
12,光洋モータープール,34.6696074,135.4941571
13,タイムズ湊町第3駐車場,34.6685782,135.4969210
14,OPL日本橋パーキング,34.6585844,135.5075156
15,アパマンショップパーキング真法院町第1,34.6581157,135.5202411
16,Park in Park天王寺区役所前,34.6583861,135.5185469
17,タイムズ下寺第2,34.6572883,135.5093161
18,システムパーク下寺,34.6574353,135.5092630
19,三井のリパーク龍造寺町,34.6770342,135.5183908
20,大治谷五モータープール,34.6771717,135.5175089
21,タイムズ安堂寺町第3,34.6767161,135.5131096
22,エコロパーク安堂寺町第1,34.6760872,135.5124738
23,タイムズ松屋町,34.6743546,135.5123792
24,Hilltop Park松屋町,34.6741910,135.5119181
25,タイムズ,34.6736906,135.4865449
26,パークNET四天王寺駐車場,34.6566208,135.5140985
27,荻田モータープール,34.6569875,135.5173768
28,パ－クステーション上本町第2,34.6569758,135.5170976
29,タイムズ四天王寺1丁目,34.6570126,135.5169518
30,タイムズ四天王寺1丁目第2,34.6572439,135.5143974
31,大江東ガレージ,34.6559404,135.5144530
32,東邦パーキング,34.6545434,135.5129670
33,和宏モータープール,34.6558878,135.5097614
34,ふくろうPARKING下寺3丁目,34.6567078,135.5102380
35,MAX PARKING24 緑橋駐車場,34.6807982,135.5420135
36,トラストパーク立売堀,34.6797757,135.4965115
37,タイムパーク玉津1丁目,34.6738121,135.5387983
38,セントラルパーキング,34.6713223,135.5393248
39,タイムズ大今里南第5,34.6684867,135.5441095
40,新町橋モータープール,34.6777486,135.4956634
41,大阪市立西横堀駐車場,34.6774752,135.4978002
42,スパーク高津2,34.6645039,135.5104909
43,島之内モータープール,34.6641260,135.5104739
44,n/a,34.6355924,135.4023097
45,京都駅ビル東第１駐車場 (Kyoto Station Building East First Parkinglot),34.9859342,135.7608735
46,n/a,34.9859706,135.7567672
47,京田辺PA ( Kyotanabe Parking Area),34.8331659,135.7237412
48,n/a,34.6981487,135.5055351
49,平城宮跡駐車場（奈良西）,34.6698848,135.7544690
50,n/a,34.7092214,135.7422401
51,n/a,34.6486319,135.7408936
52,n/a,34.6799149,135.7749879
53,n/a,34.8182389,135.7100098
54,n/a,34.7197289,135.4378841
55,24時間パーキング,34.7299603,135.4351509
56,24時間パーキング,34.7304450,135.4350050
57,システムパークM尼崎杭瀬,34.7222920,135.4398958
58,n/a,34.7601819,135.6496193
59,n/a,35.0429572,135.6708443
60,n/a,35.0319761,135.6543178
61,アイボリー画材 お客様駐車場,34.6876503,135.8219589
62,n/a,34.8334104,135.4896724
63,東モータープール,34.7487847,135.6042788
64,船橋 正起 モータープール,34.6867412,135.8217124
65,藤井質店 駐車場,34.6866511,135.8220960
66,n/a,34.6877256,135.8217581
67,山本 モータープール,34.6876137,135.8236160
68,n/a,34.6963605,135.7869522
69,n/a,34.6915479,135.7830010
70,n/a,34.6956901,135.7854609
71,n/a,34.6799501,135.7736250
72,n/a,34.6790899,135.7753201
73,Hokke-ji,34.6916803,135.8050004
74,n/a,34.6676900,135.8121549
75,Car Parking,34.6974653,135.7292279
76,n/a,34.6843292,135.7698518
77,n/a,34.8042551,135.5748694
78,n/a,34.6861554,135.5389855
79,n/a,34.9353931,135.7618608
80,中津老人憩の家,34.7105850,135.4925500
81,市役所前公共駐車場,34.7364029,135.3434354
82,OnePark,34.6812241,135.4669984
83,n/a,34.7851974,135.6751564
84,n/a,34.8326952,135.4698214
85,n/a,34.7642855,135.6556764
86,n/a,34.7566480,135.6549683
87,n/a,34.7566789,135.6556281
88,n/a,34.7885155,135.6765708
89,n/a,34.7880815,135.6778609
90,n/a,34.7893151,135.6730893
91,n/a,34.8404097,135.7160851
92,n/a,34.8410906,135.7180833
93,n/a,34.8190425,135.6888744
94,n/a,34.8132953,135.4591732
95,n/a,34.8106541,135.4525778
96,n/a,34.8314539,135.4696504
97,n/a,34.8273024,135.4798077
98,n/a,34.8276409,135.4795003
99,n/a,34.8239363,135.4570015
100,n/a,34.7258383,135.6294245
101,n/a,34.7293609,135.6302238
102,テクニカルパーク浮田,34.7104980,135.5089300
103,n/a,34.6837038,135.5086831
104,n/a,34.7112718,135.5086936
105,n/a,34.7113581,135.5072924
106,n/a,34.7097682,135.4992201
107,n/a,34.7092078,135.5079780
108,n/a,34.7098980,135.5079494
109,n/a,34.7146828,135.5100981
110,n/a,34.7121130,135.5053440
111,n/a,34.7124173,135.5053631
112,n/a,34.8246398,135.4855999
113,n/a,34.8251689,135.4852472
114,n/a,34.8122648,135.4949613
115,n/a,34.9333849,135.7985108
116,n/a,34.8358003,135.5260266
117,n/a,34.6803771,135.8207135
118,n/a,34.8105669,135.4793027
119,生駒駅南自動車駐車場,34.6911438,135.6980613
120,n/a,34.6793508,135.7066750
121,n/a,34.8114286,135.4702561
122,n/a,34.6921941,135.7057134
123,n/a,34.6918589,135.7054693
124,p,34.5704900,135.4811250
125,n/a,34.7192709,135.4831725
126,mini mini 立体パーキング (minimini Parking),34.7192798,135.4832711
127,n/a,34.7044499,135.5661445
128,n/a,34.7664364,135.5316718
129,n/a,34.8228045,135.4946760
130,n/a,34.8229883,135.4846206
131,n/a,34.8269215,135.4800845
132,n/a,34.7466398,135.6943651
133,上汐駐車場,34.6602310,135.5156810
134,n/a,34.6979082,135.5309133
