ID,Name,Latitude,Longitude,Car,Bicycle,Motorcycle,Gentsuki,Price,Unit_of_Time,Review,Current_Free_Spot,Uploader,Timestamp,Image Path
1,n/a,34.5935683,135.5051573,None,None,None,None,None,None,None,2,None,None,None
2,タイムズ大物駅前,34.7175167,135.4254737,None,None,None,None,None,None,None,1,None,None,None
3,n/a,34.6810389,135.4833942,None,None,None,None,None,None,None,7,None,None,None
4,北堀江駐車場,34.6753465,135.4823618,None,None,None,None,None,None,None,1,None,None,None
5,芝野,34.6745744,135.4819648,None,None,None,None,None,None,None,10,None,None,None
6,モータープールとよえい,34.6740999,135.4819664,None,None,None,None,None,None,None,10,None,None,None
7,ヤマダモータープール,34.6704557,135.4806153,None,None,None,None,None,None,None,0,None,None,None
8,パークステーション24南堀江,34.6702266,135.4872643,None,None,None,None,None,None,None,0,None,None,None
9,P.ZONE南堀江3丁目,34.6701987,135.4877568,None,None,None,None,None,None,None,9,None,None,None
10,タイムズ南堀江公園南第2,34.6698173,135.4918462,None,None,None,None,None,None,None,8,None,None,None
11,大野コインパーキング住吉橋,34.6696253,135.4936851,None,None,None,None,None,None,None,5,None,None,None
12,光洋モータープール,34.6696074,135.4941571,None,None,None,None,None,None,None,3,None,None,None
13,タイムズ湊町第3駐車場,34.6685782,135.4969210,None,None,None,None,None,None,None,9,None,None,None
14,OPL日本橋パーキング,34.6585844,135.5075156,None,None,None,None,None,None,None,2,None,None,None
15,アパマンショップパーキング真法院町第1,34.6581157,135.5202411,None,None,None,None,None,None,None,0,None,None,None
16,Park in Park天王寺区役所前,34.6583861,135.5185469,None,None,None,None,None,None,None,1,None,None,None
17,タイムズ下寺第2,34.6572883,135.5093161,None,None,None,None,None,None,None,9,None,None,None
18,システムパーク下寺,34.6574353,135.5092630,None,None,None,None,None,None,None,4,None,None,None
19,三井のリパーク龍造寺町,34.6770342,135.5183908,None,None,None,None,None,None,None,9,None,None,None
20,大治谷五モータープール,34.6771717,135.5175089,None,None,None,None,None,None,None,8,None,None,None
21,タイムズ安堂寺町第3,34.6767161,135.5131096,None,None,None,None,None,None,None,6,None,None,None
22,エコロパーク安堂寺町第1,34.6760872,135.5124738,None,None,None,None,None,None,None,10,None,None,None
23,タイムズ松屋町,34.6743546,135.5123792,None,None,None,None,None,None,None,2,None,None,None
24,Hilltop Park松屋町,34.6741910,135.5119181,None,None,None,None,None,None,None,4,None,None,None
25,タイムズ,34.6736906,135.4865449,None,None,None,None,None,None,None,2,None,None,None
26,パークNET四天王寺駐車場,34.6566208,135.5140985,None,None,None,None,None,None,None,10,None,None,None
27,荻田モータープール,34.6569875,135.5173768,None,None,None,None,None,None,None,4,None,None,None
28,パ－クステーション上本町第2,34.6569758,135.5170976,None,None,None,None,None,None,None,5,None,None,None
29,タイムズ四天王寺1丁目,34.6570126,135.5169518,None,None,None,None,None,None,None,0,None,None,None
30,タイムズ四天王寺1丁目第2,34.6572439,135.5143974,None,None,None,None,None,None,None,5,None,None,None
31,大江東ガレージ,34.6559404,135.5144530,None,None,None,None,None,None,None,10,None,None,None
32,東邦パーキング,34.6545434,135.5129670,None,None,None,None,None,None,None,10,None,None,None
33,和宏モータープール,34.6558878,135.5097614,None,None,None,None,None,None,None,10,None,None,None
34,ふくろうPARKING下寺3丁目,34.6567078,135.5102380,None,None,None,None,None,None,None,6,None,None,None
35,MAX PARKING24 緑橋駐車場,34.6807982,135.5420135,None,None,None,None,None,None,None,5,None,None,None
36,トラストパーク立売堀,34.6797757,135.4965115,None,None,None,None,None,None,None,7,None,None,None
37,タイムパーク玉津1丁目,34.6738121,135.5387983,None,None,None,None,None,None,None,2,None,None,None
38,セントラルパーキング,34.6713223,135.5393248,None,None,None,None,None,None,None,6,None,None,None
39,タイムズ大今里南第5,34.6684867,135.5441095,None,None,None,None,None,None,None,0,None,None,None
